FAQ_No,Category1,Category2,Category3,Category4,Category5,Question,Answer,Landing URL,Image info (URL)
0,인문사회과학대학,행정학과,,,,"['행정학과', ['033-730-0250', '730-0250', '0250'], ['행정']]","인문사회과학대학
행정학과
033-730-0250",https://www.sangji.ac.kr/administration/index.do,

0,경상대학,경상대학,,,,"['경상대학', ['033-730-0202', '730-0202', '0202'], ['경상대', '경상']]","경상대학
경상대학
033-730-0202",https://www.sangji.ac.kr/eba/index.do,

0,경상대학,FTA국제학부,,,,"['FTA국제학부', ['033-738-8165', '738-8165', '8165'], ['FTA', '국제', '에프티에이']]","경상대학
FTA국제학부
033-738-8165",https://www.sangji.ac.kr/fta/index.do,

0,경상대학,경영정보학과,,,,"['경영정보학과', ['033-738-7630', '738-7630', '7630'], ['경영정보', '경정학', '경정과']]","경상대학
경영정보학과
033-738-7630",https://www.sangji.ac.kr/mis/index.do,

0,경상대학,경영학과,,,,"['경영학과', ['033-730-0310', '730-0310', '0310'], ['경영']]","경상대학
경영학과
033-730-0310",https://www.sangji.ac.kr/management/index.do,

0,경상대학,경제학과,,,,"['경제학과', ['033-730-0350', '730-0350', '0350'], ['경제']]","경상대학
경제학과
033-730-0350",https://www.sangji.ac.kr/economics/index.do,

0,경상대학,관광경영학과,,,,"['관광경영학과', ['033-730-0320', '730-0320', '0320'], ['관광경영', '광경']]","경상대학
관광경영학과
033-730-0320",https://www.sangji.ac.kr/tourism/index.do,

0,경상대학,관광여가기획학과,,,,"['관광여가기획학과', ['033-738-8230', '738-8230', '8230'], ['관광여가기획', '관여']]","경상대학
관광여가기획학과
033-738-8230",https://www.sangji.ac.kr/leisureplanning/index.do,

0,경상대학,글로벌경영학과(야),,,,"['글로벌경영학과(야)', ['033-730-0310', '730-0310', '0310'], ['글로벌경영', '글로벌']]","경상대학
글로벌경영학과(야)
033-730-0310",https://www.sangji.ac.kr/globalmanagement/index.do,

0,경상대학,무역학과,,,,"['무역학과', ['033-730-0330', '730-0330', '0330'], ['무역']]","경상대학
무역학과
033-730-0330",https://www.sangji.ac.kr/trade/index.do,

0,경상대학,항공서비스학과,,,,"['항공서비스학과', ['항공']]","경상대학
항공서비스학과
(정보없음)",https://www.sangji.ac.kr/airline/index.do,

0,경상대학,호텔컨벤션학과,,,,"['호텔컨벤션학과', ['033-738-7535', '738-7535', '7535'], ['호텔']]","경상대학
호텔컨벤션학과
033-738-7535",https://www.sangji.ac.kr/hocon/index.do,

0,경상대학,회계학과,,,,"['회계학과', ['033-730-0340', '730-0340', '0340'], ['회계']]","경상대학
회계학과
033-730-0340",https://www.sangji.ac.kr/accounting/index.do,

0,생명환경과학대학,생명환경과학대학,,,,"['생명환경과학대학', ['033-730-0502', '730-0502', '0502'], ['생명대', '과학대']]","생명환경과학대학
생명환경과학대학
033-730-0502",https://www.sangji.ac.kr/lsnr/index.do,

0,생명환경과학대학,동물생명공학과,,,,"['동물생명공학과', ['033-730-0540', '730-0540', '0540'], ['동물생명']]","생명환경과학대학
동물생명공학과
033-730-0540",https://www.sangji.ac.kr/anibiotech/index.do,

0,생명환경과학대학,동물자원학과,,,,"['동물자원학과', ['033-730-0530', '730-0530', '0530'], ['동물자원']]","생명환경과학대학
동물자원학과
033-730-0530",https://www.sangji.ac.kr/animalscience/index.do,

0,생명환경과학대학,산림과학과,,,,"['산림과학과', ['033-730-0520', '730-0520', '0520'], ['산림']]","생명환경과학대학
산림과학과
033-730-0520",https://www.sangji.ac.kr/forestscience/index.do,

0,생명환경과학대학,생명과학과,,,,"['생명과학과', ['033-730-0430', '730-0430', '0430'], ['생명과', '생과']]","생명환경과학대학
생명과학과
033-730-0430",https://www.sangji.ac.kr/biology/index.do,

0,생명환경과학대학,식물생명자원학과,,,,"['식물생명자원학과', ['033-730-0510', '730-0510', '0510'], ['식물']]","생명환경과학대학
식물생명자원학과
033-730-0510",https://www.sangji.ac.kr/plants/index.do,

0,생명환경과학대학,환경조경학과,,,,"['환경조경학과', ['033-730-0510', '730-0510', '0510'], ['조경']]","생명환경과학대학
환경조경학과
033-730-0510",https://www.sangji.ac.kr/horticulture/index.do,

0,융합기술공과대학,융합기술공과대학,,,,"['융합기술공과대학', ['033-730-0402', '730-0402', '0402'], ['기술대', '공대', '공과대']]","융합기술공과대학
융합기술공과대학
033-730-0402",https://www.sangji.ac.kr/se/index.do,

0,융합기술공과대학,로봇공학과,,,,"['로봇공학과', ['로못']]","융합기술공과대학
로봇공학과
(정보없음)",,

0,융합기술공과대학,생명과학산업학과,,,,"['생명과학산업학과', ['033-730-0490', '730-0490', '0490'], ['생명과학', '생과']]","융합기술공과대학
생명과학산업학과
033-730-0490",https://www.sangji.ac.kr/home/index.do,

0,융합기술공과대학,소방공학과,,,,"['소방공학과', ['소방']]","융합기술공과대학
소방공학과
(정보없음)",https://www.sangji.ac.kr/fire/index.do,

0,융합기술공과대학,스마트건설공학과,,,,"['스마트건설공학과', ['033-730-0470', '730-0470', '0470'], ['건설']]","융합기술공과대학
스마트건설공학과
033-730-0470",https://www.sangji.ac.kr/construction/index.do,

0,융합기술공과대학,스마트자동차공학과,,,,"['스마트자동차공학과', ['자동차']]","융합기술공과대학
스마트자동차공학과
(정보없음)",https://www.sangji.ac.kr/car/index.do,

0,융합기술공과대학,신에너지자원공학과,,,,"['신에너지자원공학과', ['033-730-0450', '730-0450', '0450'], ['에너지']]","융합기술공과대학
신에너지자원공학과
033-730-0450",https://www.sangji.ac.kr/minerals/index.do,

0,융합기술공과대학,응용물리전자학과,,,,"['응용물리전자학과', ['033-730-0410', '730-0410', '0410'], ['물리']]","융합기술공과대학
응용물리전자학과
033-730-0410",https://www.sangji.ac.kr/physics/index.do,

0,융합기술공과대학,전자공학과,,,,"['전자공학과', ['전자']]","융합기술공과대학
전자공학과
(정보없음)",https://www.sangji.ac.kr/ee/index.do,

0,융합기술공과대학,정밀화학신소재학과,,,,"['정밀화학신소재학과', ['033-730-0420', '730-0420', '0420'], ['화학']]","융합기술공과대학
정밀화학신소재학과
033-730-0420",https://www.sangji.ac.kr/chemistry/index.do,

0,융합기술공과대학,정보보안학과,,,,"['정보보안학과', ['정보보안', '보안']]","융합기술공과대학
정보보안학과
(정보없음)",https://www.sangji.ac.kr/security/index.do,

0,융합기술공과대학,정보통신소프트웨어공학과,,,,"['정보통신소프트웨어공학과', ['033-738-7649', '738-7649', '7649'], ['통신', '정통']]","융합기술공과대학
정보통신소프트웨어공학과
033-738-7649",https://www.sangji.ac.kr/ice/index.do,

0,융합기술공과대학,컴퓨터공학과,,,,"['컴퓨터공학과', ['033-730-0480', '730-0480', '0480'], ['컴공', '컴퓨터']]","융합기술공과대학
컴퓨터공학과
033-730-0480",https://www.sangji.ac.kr/cse/index.do,

0,융합기술공과대학,컴퓨터데이터정보학과,,,,"['컴퓨터데이터정보학과', ['033-730-0405', '730-0405', '0405'], ['데이터']]","융합기술공과대학
컴퓨터데이터정보학과
033-730-0405",https://www.sangji.ac.kr/datainfo/index.do,

0,융합기술공과대학,환경공학과,,,,"['환경공학과', ['033-730-0440', '730-0440', '0440'], ['환경']]","융합기술공과대학
환경공학과
033-730-0440",https://www.sangji.ac.kr/environment/index.do,

0,예술체육대학,예술체육대학,,,,"['예술체육대학', ['033-730-0602', '730-0602', '0602'], ['예체대']]","예술체육대학
예술체육대학
033-730-0602",https://www.sangji.ac.kr/artsport/index.do,

0,예술체육대학,만화애니메이션학과,,,,"['만화애니메이션학과', ['만화', '애니']]","예술체육대학
만화애니메이션학과
(정보없음)",https://www.sangji.ac.kr/cartoon/index.do,

0,예술체육대학,뷰티디자인학과,,,,"['뷰티디자인학과', ['뷰티']]","예술체육대학
뷰티디자인학과
(정보없음)",https://www.sangji.ac.kr/beauty/index.do,

0,예술체육대학,산업디자인학과,,,,"['산업디자인학과', ['033-730-0620', '730-0620', '0620'], ['산업디자인', '산업', '디자인']]","예술체육대학
산업디자인학과
033-730-0620",https://www.sangji.ac.kr/design/index.do,

0,예술체육대학,생활조형디자인학과,,,,"['생활조형디자인학과', ['033-730-0610', '730-0610', '0610'], ['조명']]","예술체육대학
생활조형디자인학과
033-730-0610",https://www.sangji.ac.kr/craft/index.do,

0,예술체육대학,시각영상디자인학과,,,,"['시각영상디자인학과', ['033-738-8170', '738-8170', '8170'], ['영상']]","예술체육대학
시각영상디자인학과
033-738-8170",https://www.sangji.ac.kr/visual/index.do,

0,예술체육대학,체육학부(생활체육학전공(야)),,,,"['체육학부(생활체육학전공(야))', ['033-730-0630', '730-0630', '0630'], ['생체과', '생체', '생활체육']]","예술체육대학
체육학부(생활체육학전공(야))
033-730-0630",https://www.sangji.ac.kr/leisure/index.do,

0,예술체육대학,체육학부(체육학전공),,,,"['체육학부(체육학전공)', ['033-730-0630', '730-0630', '0630'], ['체육학']]","예술체육대학
체육학부(체육학전공)
033-730-0630",https://www.sangji.ac.kr/athletics/index.do,

0,예술체육대학,체육학부(태권도학전공),,,,"['체육학부(태권도학전공)', ['033-738-7949', '738-7949', '7949'], ['태권도', '태권']]","예술체육대학
체육학부(태권도학전공)
033-738-7949",https://www.sangji.ac.kr/taekwondo/index.do,

0,예술체육대학,체육학부(합기도학전공),,,,"['체육학부(합기도학전공)', ['033-738-7949', '738-7949', '7949'], ['합기도', '합기']]","예술체육대학
체육학부(합기도학전공)
033-738-7949",https://www.sangji.ac.kr/hapkido/index.do,

0,예술체육대학,패션디자인학과,,,,"['패션디자인학과', ['패션']]","예술체육대학
패션디자인학과
(정보없음)",https://www.sangji.ac.kr/fashion/index.do,

0,보건의료과학대학,보건의료과학대학,,,,"['보건의료과학대학', ['033-738-7651', '738-7651', '7651'], ['보건대', '보의대']]","보건의료과학대학
보건의료과학대학
033-738-7651",https://www.sangji.ac.kr/health/index.do,

0,보건의료과학대학,간호학과,,,,"['간호학과', ['033-738-7620', '738-7620', '7620'], ['간호']]","보건의료과학대학
간호학과
033-738-7620",https://www.sangji.ac.kr/nursing/index.do,

0,보건의료과학대학,물리치료학과,,,,"['물리치료학과', ['033-738-7671', '738-7671', '7671'], ['물리치료']]","보건의료과학대학
물리치료학과
033-738-7671",https://www.sangji.ac.kr/pt/index.do,

0,보건의료과학대학,식품영양학과,,,,"['식품영양학과', ['033-730-0495', '730-0495', '0495'], ['식품', '영양']]","보건의료과학대학
식품영양학과
033-730-0495",https://www.sangji.ac.kr/food/index.do,

0,보건의료과학대학,언어치료학과,,,,"['언어치료학과', ['언어', '언어치료']]","보건의료과학대학
언어치료학과
(정보없음)",https://www.sangji.ac.kr/speech/index.do,

0,보건의료과학대학,의료경영학과,,,,"['의료경영학과', ['033-738-7910', '738-7910', '7910'], ['의료경영', '의료', '의경']]","보건의료과학대학
의료경영학과
033-738-7910",https://www.sangji.ac.kr/healthcare/index.do,

0,보건의료과학대학,임상병리학과,,,,"['임상병리학과', ['033-738-7681', '738-7681', '7681'], ['임상']]","보건의료과학대학
임상병리학과
033-738-7681",https://www.sangji.ac.kr/bmls/index.do,

0,보건의료과학대학,작업치료학과,,,,"['작업치료학과', ['작업치료', '작업']]","보건의료과학대학
작업치료학과
(정보없음)",https://www.sangji.ac.kr/ot/index.do,

0,보건의료과학대학,재활상담학과,,,,"['재활상담학과', ['재활']]","보건의료과학대학
재활상담학과
(정보없음)",https://www.sangji.ac.kr/rehab/index.do,

0,보건의료과학대학,제약공학과,,,,"['제약공학과', ['033-738-7920', '738-7920', '7920'], ['제약']]","보건의료과학대학
제약공학과
033-738-7920",https://www.sangji.ac.kr/pharmeng/index.do,

0,보건의료과학대학,한방의료공학과,,,,"['한방의료공학과', ['033-738-7610', '738-7610', '7610'], ['한방의료', '한방']]","보건의료과학대학
한방의료공학과
033-738-7610",https://www.sangji.ac.kr/biomedical/index.do,

0,한의과대학,한의과대학,,,,"['한의과대학', ['033-730-0652', '730-0652', '0652'], ['한의대']]","한의과대학
한의과대학
033-730-0652",https://www.sangji.ac.kr/km/index.do,

0,한의과대학,한의예(학)과,,,,"['한의예(학)과', ['033-730-0660', '730-0660', '0660'], ['한의학', '예과']]","한의과대학
한의예(학)과
033-730-0660",https://www.sangji.ac.kr/hani/index.do,

0,교양대학,교양대학,,,,"['교양대학', ['033-730-0201', '730-0201', '0201'], ['교양']]","교양대학
교양대학
033-730-0201",https://www.sangji.ac.kr/generaledu/index.do,

0,교양대학,자유전공학부,,,,"['자유전공학부', ['자유전공']]","교양대학
자유전공학부
(정보없음)",https://www.sangji.ac.kr/op/index.do,

0,평생교육융합대학,평생교육융합대학,,,,"['평생교육융합대학', ['평생교육']]","평생교육융합대학
평생교육융합대학
(정보없음)",,

0,평생교육융합대학,사회적경제학과,,,,"['사회적경제학과', ['사회경제']]","평생교육융합대학
사회적경제학과
(정보없음)",,

0,평생교육융합대학,생애개발상담학과,,,,"['생애개발상담학과', ['생애개발']]","평생교육융합대학
생애개발상담학과
(정보없음)",,

